title,text,subject,date
"BENGALURU (ISRO) - ISRO Successfully Launches Gaganyaan Test Vehicle Mission","The Indian Space Research Organisation (ISRO) successfully conducted the flight test of the Gaganyaan Test Vehicle Development Flight (TV-D1) from Sriharikota. The mission demonstrated the in-flight abort system of the Crew Escape System, confirming astronaut safety parameters for upcoming human spaceflight missions.",science,"October 21, 2024"
"WASHINGTON (NASA) - NASA James Webb Space Telescope Discovers Ancient Galaxy Cluster","NASA's James Webb Space Telescope has captured unprecedented images of a massive galaxy cluster forming in the early universe, just 600 million years after the Big Bang. Astrophysicists confirmed peer-reviewed spectroscopic measurements published in the Astrophysical Journal.",science,"November 14, 2024"
"WASHINGTON (Reuters) - Federal Reserve Adjusts Interest Rates to Maintain Economic Stability","The Federal Reserve announced a quarter-point interest rate adjustment following its monetary policy committee meeting. Chairman Jerome Powell stated the decision aims to maintain price stability while sustaining economic growth across manufacturing and technology sectors.",business,"December 15, 2024"
"LONDON (BBC) - UK Prime Minister Announces New Clean Energy Investment Package","The UK Prime Minister announced a 5 billion pound green energy infrastructure initiative aimed at accelerating offshore wind power generation and expanding grid capacity across Great Britain by 2030.",politics,"November 20, 2024"
"BENGALURU (ISRO) - Chandrayaan 3 Pragyan Rover Confirms Presence of Sulfur on Lunar Surface","ISRO scientists confirmed that the Laser-Induced Breakdown Spectroscopy (LIBS) instrument onboard the Pragyan rover unequivocally detected sulfur on the lunar surface near the south pole, along with aluminum, calcium, iron, and titanium.",science,"August 29, 2024"
"WASHINGTON (NASA) - NASA Artemis II Mission Prepares for Manned Lunar Flyby","NASA engineers at Kennedy Space Center completed critical fueling tests for the Space Launch System rocket and Orion spacecraft ahead of the planned Artemis II manned lunar flyby mission.",science,"October 05, 2024"
"PARIS (Reuters) - Global Climate Summit Reaches Landmark Accord on Emissions Reduction","Representatives from over 190 nations concluded two weeks of international climate negotiations by signing a binding accord to accelerate renewable energy transitions and reduce carbon emissions globally.",worldNews,"December 12, 2024"
"LONDON (Reuters) - Tech Giant Unveils Commercial 1000-Qubit Quantum Computing Processor","At its annual technology conference, leading computer engineers demonstrated a 1000-qubit quantum processor capable of high-speed molecular simulations. Results were published in Nature Physics following independent validation.",technology,"November 28, 2024"
"GENEVA (BBC) - World Health Organization Publishes Updated Epidemic Preparedness Protocol","The World Health Organization issued updated global public health guidelines to strengthen early warning surveillance networks and medical supply distribution channels across member states.",worldNews,"November 15, 2024"
"NEW YORK (Reuters) - US Stock Market Rallies After Unexpected Job Creation Growth","Major Wall Street stock indices closed at record highs after the Department of Labor reported stronger than expected employment numbers across technology, healthcare, and manufacturing sectors.",business,"October 30, 2024"
"WASHINGTON (AP) - US Supreme Court Unanimously Upholds Digital Location Privacy Protections","The Supreme Court ruled unanimously that law enforcement agencies must secure a search warrant before obtaining historical cellular location tracking data from telecommunications service providers.",politics,"October 14, 2024"
"TOKYO (Reuters) - Bank of Japan Initiates Pilot Phase for Sovereign Digital Currency","The Bank of Japan launched the second phase of its central bank digital currency (CBDC) pilot program, testing interbank settlement efficiency and cross-border digital payment infrastructure.",business,"September 22, 2024"
"CAIRO (BBC) - Archaeologists Discover Intact Ancient Egyptian Royal Tomb near Luxor","An international archaeological expedition discovered a 3,000-year-old intact tomb near Luxor containing royal papyrus scrolls, gold statuettes, and decorated sarcophagi from the New Kingdom era.",worldNews,"August 19, 2024"
"BRUSSELS (Reuters) - European Union Formally Approves Strict Artificial Intelligence Act","The European Parliament voted overwhelmingly to approve the comprehensive Artificial Intelligence Act, establishing clear transparency standards, risk-based compliance tiers, and consumer protection mandates.",technology,"March 13, 2024"
"BOSTON (Reuters) - Clinical Trial Results Show High Efficacy for Personalized Cancer Vaccine","Phase III clinical trial results published in the New England Journal of Medicine demonstrate that an mRNA-based personalized melanoma vaccine significantly reduced recurrence rates when combined with immunotherapy.",science,"June 05, 2024"
"BERLIN (BBC) - Solar Cell Efficiency Record Broken by German Materials Research Lab","Researchers at the Helmholtz-Zentrum Berlin achieved a world record 33.7 percent energy conversion efficiency for a silicon-perovskite tandem solar cell, verified by independent testing laboratories.",technology,"May 18, 2024"
"BENGALURU (ISRO) - ISRO PSLV C58 Successfully Deploys XPoSat Satellite into Orbit","ISRO's Polar Satellite Launch Vehicle (PSLV-C58) successfully deployed the X-ray Polarimeter Satellite (XPoSat) into a 650km low Earth orbit to study polarization of cosmic X-rays from black holes and neutron stars.",science,"January 01, 2024"
"WASHINGTON (NASA) - NASA Hubble Space Telescope Detects Water Vapor on Nearby Exoplanet","Astronomers analyzing data from NASA's Hubble Space Telescope confirmed the presence of atmospheric water vapor on an exoplanet located in the habitable zone of a nearby red dwarf star.",science,"February 17, 2024"
"MADRID (Reuters) - Real Madrid Secures Champions League Victory in Thrilling Final","Real Madrid won their 15th European Champions League title following a 2-0 victory at Wembley Stadium. UEFA officials praised the tournament organization and global viewership records.",sports,"June 01, 2024"
"PARIS (BBC) - Olympic Games Conclude with Historic Closing Ceremony in Paris","The 2024 Summer Olympic Games officially concluded in Paris after 16 days of athletic competition featuring 10,500 athletes from 206 national committees.",sports,"August 11, 2024"
"SAN FRANCISCO (Reuters) - Chipmaker Launches Energy-Efficient AI Microprocessor Architecture","Leading semiconductor designers introduced a new chip architecture engineered to reduce energy consumption in artificial intelligence data centers by 40 percent while accelerating inference workloads.",technology,"April 09, 2024"
"WASHINGTON (AP) - Department of Energy Announces 3.5 Billion Investment in Power Grid","The U.S. Department of Energy announced $3.5 billion in federal grants dedicated to strengthening electrical grid resilience against extreme weather events and integrating renewable wind and solar power.",politics,"January 08, 2024"
"SINGAPORE (Reuters) - Global Supply Chain Resilience Index Shows Recovery in Port Logistics","Economic analysts at the International Maritime Organization reported that global shipping container throughput returned to pre-pandemic growth rates with reduced port congestion worldwide.",business,"May 29, 2024"
