title,text,label
"Global Climate Summit Reaches Landmark Accord","Representatives from over 190 countries signed a historic climate pact today pledging net zero emissions by 2050. Scientific advisors confirmed data alignment and praised the international consensus.",REAL
"Secret Alien Spacecraft Found Under Antarctic Ice Sheet","Breaking scandal! Anonymous source claims massive alien spacecraft hidden beneath 2 miles of ice since 1947. Scientists baffled as secret government agency covers up the absolute truth!",FAKE
"Federal Reserve Adjusts Interest Rates to Curb Inflation","The Federal Reserve announced a quarter-point interest rate increase following their monthly monetary policy meeting. Chairman stated the decision aims to maintain price stability while sustaining economic growth.",REAL
"Miracle Herb Cures All Known Diseases Overnight Scientists Shocked","You won't believe this secret natural cure! Big pharma doesn't want you to know about this revolutionary leaf that cures cancer, diabetes, and heart disease in just 24 hours!",FAKE
"Tech Giant Unveils New Quantum Computing Processor","At their annual developer conference, engineers showcased a 1000-qubit quantum processor capable of complex scientific simulations. Peer-reviewed benchmarks were published in Nature Physics today.",REAL
"SHOCKING: Drinking Boiling Water and Lemon Eliminates All Viruses Instantly","Shocking secret doctors hide from you! A leaked document reveals that drinking boiling hot water with lemon juice destroys every virus in your body in 5 minutes! Share before deleted!",FAKE
"European Space Agency Successfully Launches Deep Space Telescope","The European Space Agency launched its flagship telescope from French Guiana. The spacecraft will study exoplanet atmospheres and search for biosignatures over its 10-year primary mission.",REAL
"Celebrity Secretly Arrested by Underground Military Tribunal","Unbelievable breaking news! Famous Hollywood actor was secretly arrested last night by elite military forces and taken to undisclosed location. Mainstream media refuses to report this!",FAKE
"WHO Releases New Global Health Guidelines on Pandemic Preparedness","The World Health Organization published comprehensive updated recommendations for national healthcare systems to enhance epidemic surveillance and medical supply distribution.",REAL
"5G Towers Are Spreading Mind Control Signals to Citizens","Warning! Leaked blueprints prove 5G towers operate on secret frequencies designed to manipulate human emotions and control thought patterns. Top secret government conspiracy revealed!",FAKE
"Stock Market Rallies After Unexpected Positive Jobs Report","Major stock indices closed higher today following the Department of Labor report showing lower unemployment rates and stronger than expected job creation across tech and manufacturing sectors.",REAL
"Scientists Discover Instant Wealth Formula Using Micro-Chips","Secret breakthrough allows anyone to generate thousands of dollars per hour using secret micro-chips installed in household items! Millionaires are trying to ban this article!",FAKE
"New Solar Panel Breakthrough Achieves 35 Percent Efficiency Standard","Researchers at the National Renewable Energy Laboratory have developed a tandem solar cell achieving record-breaking energy conversion efficiency, paved for commercial rollout next year.",REAL
"Illuminati Cult Secretly Controls Global Weather Patterns","Insane conspiracy confirmed! High-ranking defector exposes how secretive global elite uses cloud seeding technology to trigger floods and hurricanes to control populations!",FAKE
"International Trade Agreement Signed by G20 Leaders","G20 leaders concluded their two-day summit with a unified declaration supporting sustainable trade practices, digital economy standards, and supply chain resilience.",REAL
"Miracle Weight Loss Pill Burns 50 Pounds In 3 Days Without Exercise","Doctors are stunned! This secret weight loss gummy melts fat while you sleep. No diet or exercise required! Stock running out fast click here right now!",FAKE
"Supreme Court Delivers Unanimous Ruling on Digital Data Privacy","The Supreme Court ruled 9-0 that law enforcement agencies must obtain a warrant before accessing historical cell phone location data from telecommunication providers.",REAL
"Billionaire Building Underground Fortress to Escape Imminent Apocalypse","Exposed! World's richest billionaire builds massive underground bunker complex in remote island to prepare for upcoming planetary collision that government is hiding from public!",FAKE
"Central Bank Conducts Trial of Official Digital Currency","The Central Bank initiated a pilot program testing a sovereign digital currency for interbank settlements, focusing on transaction speed, security, and lower cross-border transfer fees.",REAL
"Government Installing Secret Cameras Inside All Home Electronics","Beware! Whistleblower reveals micro cameras are pre-installed in smart TVs, microwave ovens, and refrigerators to spy on every citizen 24 hours a day!",FAKE
"Archaeologists Unearth 3000-Year-Old Ancient Egyptian Tomb","A joint team of Egyptian and international archaeologists discovered a remarkably intact tomb near Luxor containing ancient artifacts, papyrus scrolls, and gold statues.",REAL
"Scientists Prove Earth is Flat and NASA Fake All Space Missions","Shocking truth revealed! Independent researchers prove the Earth is completely flat and all space agency photos are CGI computer animations created to steal taxpayer money!",FAKE
"Electric Vehicle Sales Reach Record High in Global Automotive Market","Automotive industry reports indicate electric vehicles accounted for over 18 percent of new passenger car sales worldwide last year, driven by battery cost reductions and infrastructure expansion.",REAL
"Drinking Secret Miracle Oil Reverses Aging Process by 30 Years","Unbelievable miracle discovery! Local doctor finds ancient Amazonian tree oil that turns back your biological age 30 years in just 7 days! Clinics trying to silence him!",FAKE
"United Nations Formally Approves Biodiversity Protection Treaty","UN member states voted unanimously to establish marine protected areas covering 30 percent of international waters by 2030 to preserve endangered marine species and coral reefs.",REAL
"Government Microchips Found Hidden Inside Popular Fast Food Hamburgers","Disgusting secret revealed! Lab tests confirm fast food chains are embedding nano-tracking chips into meat patties to track citizen movements! Read full story now!",FAKE
"Medical Researchers Announce Success in Clinical Cancer Vaccine Trial","Phase III clinical trial results show an mRNA-based personalized cancer vaccine significantly reduced recurrence rates in melanoma patients, with FDA fast-track designation granted.",REAL
"Alien Radio Signals Transmitting Secret Messages to Human Brains","URGENT: Deep space radio signals detected that directly communicate secret subliminal messages to citizens while sleeping! Scientists urge everyone to wear foil caps immediately!",FAKE
"City inaugurates New Zero-Emission Public Transit Fleet","The municipality deployed 150 new electric buses powered by solar energy, cutting urban carbon emissions and expanding accessible transit routes across all metropolitan districts.",REAL
"SHOCKING BREAKING NEWS You Won't Believe What Happened Today","Click here to see the unbelievable event that changed everything! Mainstream media doesn't want you to see this footage! Share immediately!",FAKE
